epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5584,1.28753,1.16064,1.08088,0.97118,0.97573,0.99021,0.7426,0.88062,0.70282,0.93923,0.000663333,0.000663333,0.000663333
2,38.9144,0.97709,0.67227,0.96939,0.98772,0.96375,0.99234,0.76286,0.83,0.58227,0.92428,0.00130367,0.00130367,0.00130367
3,56.6281,0.88189,0.59971,0.9397,0.98416,0.98552,0.9941,0.81259,0.69971,0.47502,0.87137,0.0019176,0.0019176,0.0019176
4,74.3716,0.8743,0.57197,0.93873,0.98521,0.98212,0.9937,0.72012,0.83514,0.5235,0.95413,0.0018812,0.0018812,0.0018812
5,92.0326,0.80452,0.52706,0.9177,0.98734,0.98112,0.99416,0.80155,0.74185,0.45282,0.89737,0.0018416,0.0018416,0.0018416
6,109.611,0.73124,0.48074,0.89481,0.98741,0.98762,0.99473,0.8729,0.52145,0.36838,0.83055,0.001802,0.001802,0.001802
7,127.17,0.67849,0.44916,0.88048,0.99289,0.98463,0.99467,0.86915,0.526,0.35882,0.83708,0.0017624,0.0017624,0.0017624
8,144.814,0.68417,0.43927,0.88416,0.98888,0.98485,0.99418,0.87338,0.55304,0.36387,0.83999,0.0017228,0.0017228,0.0017228
9,162.424,0.64652,0.42451,0.87048,0.99142,0.98882,0.99465,0.86447,0.57926,0.35949,0.85264,0.0016832,0.0016832,0.0016832
10,179.883,0.6418,0.41236,0.86981,0.99218,0.98986,0.99479,0.89763,0.4842,0.33237,0.82146,0.0016436,0.0016436,0.0016436
11,197.442,0.59499,0.39208,0.85887,0.99219,0.99212,0.99484,0.91059,0.44203,0.31641,0.8081,0.001604,0.001604,0.001604
12,214.98,0.61688,0.4014,0.86274,0.99093,0.99049,0.99481,0.90446,0.46009,0.32025,0.81481,0.0015644,0.0015644,0.0015644
13,232.435,0.59733,0.38923,0.85989,0.99196,0.99342,0.99488,0.9045,0.44135,0.30294,0.81028,0.0015248,0.0015248,0.0015248
14,249.844,0.54579,0.36533,0.84654,0.99395,0.99308,0.99487,0.91045,0.45261,0.31626,0.81256,0.0014852,0.0014852,0.0014852
15,267.325,0.54557,0.36559,0.8463,0.98771,0.99371,0.9948,0.91797,0.42295,0.2907,0.80233,0.0014456,0.0014456,0.0014456
16,285.323,0.54828,0.35718,0.84613,0.99496,0.99429,0.99494,0.91972,0.42209,0.28719,0.80161,0.001406,0.001406,0.001406
17,303.092,0.52662,0.34968,0.84183,0.99634,0.99597,0.99498,0.90874,0.42337,0.27982,0.80979,0.0013664,0.0013664,0.0013664
18,320.672,0.52574,0.3491,0.84072,0.99397,0.99527,0.99494,0.91785,0.42912,0.28541,0.8051,0.0013268,0.0013268,0.0013268
19,338.287,0.50252,0.33847,0.83519,0.99622,0.99564,0.99497,0.91385,0.42919,0.28884,0.80867,0.0012872,0.0012872,0.0012872
20,356.252,0.4855,0.33011,0.83201,0.99532,0.99648,0.99495,0.9299,0.40692,0.27397,0.80118,0.0012476,0.0012476,0.0012476
21,373.825,0.50716,0.33396,0.83527,0.99384,0.99522,0.99465,0.93431,0.3906,0.26883,0.80255,0.001208,0.001208,0.001208
22,391.398,0.4917,0.33024,0.83247,0.99593,0.99597,0.99476,0.94051,0.36884,0.26148,0.79783,0.0011684,0.0011684,0.0011684
23,409.224,0.47684,0.32162,0.82946,0.99489,0.99874,0.99491,0.93868,0.35759,0.25291,0.79209,0.0011288,0.0011288,0.0011288
24,426.785,0.47624,0.31652,0.82902,0.99672,0.9944,0.99491,0.84675,0.64475,0.32009,0.85551,0.0010892,0.0010892,0.0010892
25,444.408,0.46019,0.31001,0.82523,0.99842,0.99899,0.99498,0.95085,0.34046,0.23868,0.78705,0.0010496,0.0010496,0.0010496
26,461.868,0.44699,0.30567,0.82224,0.99546,0.99342,0.99496,0.93729,0.3758,0.25106,0.79557,0.00101,0.00101,0.00101
27,479.559,0.4402,0.29881,0.82038,0.99539,0.99799,0.99483,0.92339,0.40514,0.24921,0.79758,0.0009704,0.0009704,0.0009704
28,497.127,0.42782,0.29349,0.82035,0.99698,0.99695,0.99498,0.94194,0.36068,0.24464,0.79039,0.0009308,0.0009308,0.0009308
29,514.732,0.43243,0.29752,0.8197,0.99799,0.99806,0.99499,0.94611,0.35439,0.24273,0.78748,0.0008912,0.0008912,0.0008912
30,532.264,0.42957,0.29171,0.81923,0.99841,0.99824,0.99497,0.92446,0.41899,0.24723,0.8012,0.0008516,0.0008516,0.0008516
31,549.852,0.41144,0.28258,0.81384,0.99742,0.99899,0.99499,0.95788,0.31526,0.2225,0.7814,0.000812,0.000812,0.000812
32,567.423,0.40522,0.28052,0.81502,0.99899,0.99811,0.99479,0.94376,0.37054,0.23038,0.79264,0.0007724,0.0007724,0.0007724
33,584.924,0.4226,0.28668,0.81668,0.99849,0.99678,0.995,0.95352,0.34404,0.22773,0.78858,0.0007328,0.0007328,0.0007328
34,602.465,0.40156,0.27526,0.81343,0.99849,0.99943,0.995,0.95983,0.31611,0.22322,0.78166,0.0006932,0.0006932,0.0006932
35,619.959,0.41114,0.27879,0.81456,0.99899,0.99969,0.995,0.96445,0.29839,0.214,0.77799,0.0006536,0.0006536,0.0006536
36,637.631,0.40417,0.27219,0.8128,0.99874,0.9992,0.995,0.96868,0.28734,0.20502,0.77757,0.000614,0.000614,0.000614
37,655.381,0.38375,0.26501,0.81054,0.99849,0.9992,0.995,0.96526,0.30472,0.20581,0.77818,0.0005744,0.0005744,0.0005744
38,672.991,0.38705,0.26658,0.81083,0.99899,0.99975,0.995,0.97004,0.29303,0.20286,0.77777,0.0005348,0.0005348,0.0005348
39,690.512,0.37007,0.25796,0.8067,0.99767,0.9995,0.99499,0.97018,0.27644,0.19518,0.77495,0.0004952,0.0004952,0.0004952
40,708.055,0.3693,0.25794,0.80719,0.99924,0.99892,0.995,0.97479,0.27362,0.19851,0.77485,0.0004556,0.0004556,0.0004556
41,739.318,0.35116,0.2338,0.79371,0.99746,0.9995,0.99497,0.97386,0.27356,0.1976,0.77451,0.000416,0.000416,0.000416
42,756.404,0.31805,0.21973,0.78752,0.99824,0.99924,0.99499,0.96677,0.29435,0.20495,0.77762,0.0003764,0.0003764,0.0003764
43,773.409,0.31089,0.21784,0.78688,0.99823,0.9995,0.99498,0.96914,0.28895,0.20151,0.77695,0.0003368,0.0003368,0.0003368
44,790.471,0.305,0.21187,0.7866,0.99888,0.99924,0.995,0.97641,0.25915,0.18838,0.77212,0.0002972,0.0002972,0.0002972
45,807.608,0.30023,0.20862,0.78541,0.99923,0.99975,0.995,0.9751,0.26275,0.18719,0.77288,0.0002576,0.0002576,0.0002576
46,824.814,0.29431,0.20467,0.78433,0.9995,0.99945,0.99499,0.9812,0.24633,0.18049,0.77112,0.000218,0.000218,0.000218
47,841.884,0.28912,0.20163,0.78319,0.99943,0.99899,0.99499,0.97992,0.24897,0.18087,0.77115,0.0001784,0.0001784,0.0001784
48,858.944,0.28099,0.19623,0.78314,0.9995,0.99942,0.995,0.98235,0.23976,0.17646,0.77068,0.0001388,0.0001388,0.0001388
49,875.899,0.27718,0.195,0.77958,0.99899,0.99969,0.995,0.98318,0.2373,0.17366,0.77001,9.92e-05,9.92e-05,9.92e-05
50,892.935,0.27187,0.19186,0.78106,0.9995,0.99971,0.995,0.98331,0.23422,0.17128,0.76999,5.96e-05,5.96e-05,5.96e-05
